"t_id","topwords"
"t_1","bbc, klima, verander, spiel, opf, wissenschaft, lug, erwart, mensch, co2"
"t_2","solar-, sonn, erd, zyklus, aktivitat, planet, lang, jahr, klima, sonnenfleck"
"t_3","energi, leistung, wind, kost, gas, ansteig, erhohen,, preis, grun, kohlenstoff"
"t_4","klima, deutsch, deutschland, zeigt, jahr, global, gosselin, erwarm, wissenschaftl, wissenschaft"
"t_5","ipcc, jahr, klimakatastroph, co2, klimawandel, mensch, weltklimarat, wissenschaftl, polit, bericht"
"t_6","klima, herzland, unterlag, institut, gleick, wissenschaft, dokument, mensch, verander, million"
"t_7","wissenschaft, tagebuch, freitas, aktion, papi, hinweis, rezension, phil, klima, person"
"t_8","klima, obama, epa, verander, prasident, zustand, global, umwelt, amerikan, emission"
"t_9","baum, ring, dat, proxy, verander, unterhalt, prufung, enso, meer, verknupf"
"t_10","polit, deutsch, deutschland, jahr, energiew, grun, gross, europa, land, staat"
"t_11","europa, land, polit, russland, recht, china, global, verander, gas, regier"
"t_12","zeigt, temperatur, jahr, erwarm, global, ansteig, erhohen,, klima, erhebt, dat"
"t_13","erwarm, klima, global, wissenschaft, co2, mensch, wissenschaftl, irgendein, glaub, polit"
"t_14","uhr, dat, bekomm, gerad, seite?, gut, zeigt, kennt, irgendein, denk"
"t_15","prof, bitt, klima, deutsch, energi, klimawandel, institut, eik, meteorolog, anmerk"
"t_16","wissenschaft, seeland, aufzeichn, klima, temperatur, niwa, antwort, position, professor, nzcsc"
"t_17","vereinigt, konigreich, zeigt, gross, global, klima, erwarm, million, letzt, aufzeichn"
"t_18","atmosphar, temperatur, strahlung, co2, erhoht, energi, oberflach, wolk, erd, wass"
"t_19","wwf, seeland, vereinigt, bericht, nachhalt, entwickl, konigreich, regier, wirtschaft, bildung"
"t_20","jahr, wett, kalt, eis, sturm, wint, schnee, hurrikan, nord, tag"
"t_21","klima, wissenschaft, ipcc, verander, global, wissenschaftl, bericht, erwarm, polit, forschung"
"t_22","natur, mensch, umgeb, klima, verander, welt, beispiel, glaub, gut, religios"
"t_23","freitas, papier-, wissenschaft, e-mail, klima, mannschaft, versuch, han, sorg, geschicht"
"t_24","jahr, klimawandel, deutsch, gross, prozent, stadt, million, wort, wass, land"
"t_25","jahr, herr, warm, co2, temperatur, wissenschaft, erwarm, frag, global, erd"
"t_26","klima, verander, erwarm, global, mensch, wett, wissenschaft, debatt, jahr, skeptik"
"t_27","wissenschaft, mann, papier-, e-mail, arbeit, peer, falsch, rezension, stock, wissenschaftl"
"t_28","klima, wuwt, watt, zeigt, folg, beitrag, gesendet, anthony, global, erwarm"
"t_29","mensch, leb, lang, zeit, kind, alt, welt, mann, gut, jahr"
"t_30","global, klima, klimat, geschicht, ozean, wuwt, wett, atmosphar, temperatur, scheit"
